,algo,Logloss_10R5CV,Logloss_Test,NFS,selected_features,best_model
0,LogisticRegression,0.066868,0.079512,10,"['radius error' 'smoothness error' 'compactness error' 'worst radius'
 'worst texture' 'worst perimeter' 'worst area' 'worst concavity'
 'worst concave points' 'worst symmetry']",LogisticRegression(C=2.5457613022710692)
2,SVC,0.061924,0.093283,9,"['mean texture' 'radius error' 'smoothness error' 'compactness error'
 'symmetry error' 'worst perimeter' 'worst concavity'
 'worst concave points' 'worst fractal dimension']","SVC(C=10.017400170851333, gamma=0.030271440833644657, probability=True)"
1,MLPClassifier,0.055662,0.100951,14,"['mean smoothness' 'mean compactness' 'mean concavity' 'texture error'
 'area error' 'smoothness error' 'concave points error'
 'fractal dimension error' 'worst radius' 'worst texture'
 'worst perimeter' 'worst area' 'worst compactness'
 'worst fractal dimension']","MLPClassifier(activation='logistic', alpha=0.08468913411920591,
              hidden_layer_sizes=8, max_iter=5000, n_iter_no_change=20,
              random_state=1234, solver='lbfgs', tol=1e-05)"
3,DecisionTreeClassifier,0.214163,0.304484,7,"['mean radius' 'mean compactness' 'mean concave points' 'worst texture'
 'worst smoothness' 'worst symmetry' 'worst fractal dimension']","DecisionTreeClassifier(max_depth=2, min_samples_split=19)"
4,RandomForestClassifier,0.098342,0.4229,12,"['mean texture' 'mean smoothness' 'mean concave points' 'area error'
 'smoothness error' 'compactness error' 'worst texture' 'worst area'
 'worst smoothness' 'worst concave points' 'worst symmetry'
 'worst fractal dimension']","RandomForestClassifier(max_depth=20, n_estimators=126)"
5,KNeighborsClassifier,0.079658,0.714111,17,"['mean radius' 'mean texture' 'mean smoothness' 'mean compactness'
 'mean concavity' 'mean concave points' 'mean symmetry' 'radius error'
 'perimeter error' 'area error' 'smoothness error' 'compactness error'
 'symmetry error' 'worst radius' 'worst texture' 'worst compactness'
 'worst concave points']","KNeighborsClassifier(n_neighbors=7, p=1)"
