optim,name_db,type_prob,score_type,run_total,time_limit,elapsed_time,num_rows,num_cols,num_classes,train_val_size,test_size,NFS,FINAL_SCORE_VAL,FINAL_SCORE_TST,name_file,model
BO,yeast_ml8,binary,logloss,3,120.0,1.4657268007596334,2417,129,2,1208,1209,129,0.06053511797357379,0.067261,yeast.csv,"LogisticRegression(C=0.11332661438104409, max_iter=5000)"
BO,yeast_ml8,binary,logloss,4,120.0,1.3981581727663677,2417,129,2,1208,1209,129,0.06280165135002477,0.065497,yeast.csv,"LogisticRegression(C=0.07771898866916958, max_iter=5000)"
BO,ada_prior,binary,logloss,0,120.0,1.808798603216807,4562,102,2,2281,2281,102,0.33159654335152516,0.353052,ada.csv,"LogisticRegression(C=0.2651138500413934, max_iter=5000)"
BO,ada_prior,binary,logloss,1,120.0,1.8001723090807598,4562,102,2,2281,2281,102,0.33169959593598664,0.352891,ada.csv,"LogisticRegression(C=0.35745488650640744, max_iter=5000)"
BO,ada_prior,binary,logloss,2,120.0,1.933196524779002,4562,102,2,2281,2281,102,0.3311765361412907,0.352885,ada.csv,"LogisticRegression(C=0.39166708951188933, max_iter=5000)"
BO,ada_prior,binary,logloss,3,120.0,1.7934894243876138,4562,102,2,2281,2281,102,0.33379967279561473,0.353198,ada.csv,"LogisticRegression(C=0.23423202227436274, max_iter=5000)"
BO,ada_prior,binary,logloss,4,120.0,1.8924614191055298,4562,102,2,2281,2281,102,0.3325384378849989,0.353039,ada.csv,"LogisticRegression(C=0.26881341316931906, max_iter=5000)"
BO,sylva_prior,binary,logloss,0,120.0,2.0397594809532165,14395,108,2,7197,7198,108,0.017106572910296082,0.017613,sylva.csv,"LogisticRegression(C=0.23532336189796293, max_iter=5000)"
BO,sylva_prior,binary,logloss,1,120.0,2.2108965078989664,14395,108,2,7197,7198,108,0.015747489373676347,0.017805,sylva.csv,"LogisticRegression(C=0.3206652891495634, max_iter=5000)"
BO,sylva_prior,binary,logloss,2,120.0,1.9536204218864441,14395,108,2,7197,7198,108,0.018221613860941368,0.01754,sylva.csv,"LogisticRegression(C=0.170674574339439, max_iter=5000)"
BO,sylva_prior,binary,logloss,3,120.0,2.103262201944987,14395,108,2,7197,7198,108,0.016946782499646124,0.017649,sylva.csv,"LogisticRegression(C=0.2526615089547315, max_iter=5000)"
BO,sylva_prior,binary,logloss,4,120.0,2.117395055294037,14395,108,2,7197,7198,108,0.01760360124621537,0.017629,sylva.csv,"LogisticRegression(C=0.24274126819369637, max_iter=5000)"
BO,jm1,binary,logloss,0,120.0,1.9560252904891968,10885,21,2,5442,5443,21,0.4422207334641537,0.452223,jm1.csv,"LogisticRegression(C=0.31596714446117513, max_iter=5000)"
BO,jm1,binary,logloss,1,120.0,1.9182719508806865,10885,21,2,5442,5443,21,0.4430201687801366,0.452229,jm1.csv,"LogisticRegression(C=0.19585043756548007, max_iter=5000)"
BO,jm1,binary,logloss,2,120.0,1.9313806772232056,10885,21,2,5442,5443,21,0.4429544352543413,0.45223,jm1.csv,"LogisticRegression(C=0.20362556354803443, max_iter=5000)"
BO,jm1,binary,logloss,3,120.0,1.7375215570131937,10885,21,2,5442,5443,21,0.44353049072648343,0.452287,jm1.csv,"LogisticRegression(C=0.10389207004356518, max_iter=5000)"
BO,jm1,binary,logloss,4,120.0,1.817927114168803,10885,21,2,5442,5443,21,0.444337563074774,0.452262,jm1.csv,"LogisticRegression(C=0.12363794952961304, max_iter=5000)"
BO,mc1,binary,logloss,0,120.0,1.7809346993764241,9466,38,2,4733,4733,38,0.02801094227645674,0.029854,mc1.csv,"LogisticRegression(C=0.1174103941506556, max_iter=5000)"
BO,mc1,binary,logloss,1,120.0,1.7213762521743774,9466,38,2,4733,4733,38,0.028133471648340746,0.02986,mc1.csv,"LogisticRegression(C=0.11402861809200386, max_iter=5000)"
BO,mc1,binary,logloss,2,120.0,1.691013232866923,9466,38,2,4733,4733,38,0.029004661507673352,0.030127,mc1.csv,"LogisticRegression(C=0.05481919276818582, max_iter=5000)"
BO,mc1,binary,logloss,3,120.0,1.710001023610433,9466,38,2,4733,4733,38,0.029426157435777017,0.029924,mc1.csv,"LogisticRegression(C=0.08902901330124142, max_iter=5000)"
BO,mc1,binary,logloss,4,120.0,1.7148180603981018,9466,38,2,4733,4733,38,0.028185581236230762,0.03,mc1.csv,"LogisticRegression(C=0.07190327501377473, max_iter=5000)"
BO,kc1,binary,logloss,0,120.0,1.4973228057225545,2109,21,2,1054,1055,21,0.33724838081249014,0.369635,kc1.csv,"LogisticRegression(C=0.05809202470336528, max_iter=5000)"
BO,kc1,binary,logloss,1,120.0,1.4412436048189798,2109,21,2,1054,1055,21,0.3352679494840892,0.37071,kc1.csv,"LogisticRegression(C=0.08759243150604147, max_iter=5000)"
BO,kc1,binary,logloss,2,120.0,1.5069935997327168,2109,21,2,1054,1055,21,0.3351612970713448,0.370778,kc1.csv,"LogisticRegression(C=0.0896329501094838, max_iter=5000)"
