optim,name_db,type_prob,score_type,run_total,time_limit,elapsed_time,num_rows,num_cols,num_classes,train_val_size,test_size,NFS,FINAL_SCORE_VAL,FINAL_SCORE_TST,name_file,model,selec_feats_thr,best_model_parameters,best_model_probsfeats
HYB,kr-vs-kp,binary,logloss,0,120.0,9.839525361855825,3196,74,2,1598,1598,36,0.068942,0.098474,kr.csv,"LogisticRegression(C=186.75773438269815, max_iter=5000)","['bkblk_f', 'bknwy_t', 'bknwy_f', 'bkon8_t', 'bkon8_f', 'bkona_f', 'bkxbq_t', 'bkxcr_f', 'bkxwp_f', 'blxwp_t', 'bxqsq_f', 'cntxt_f', 'dsopp_t', 'hdchk_t', 'hdchk_f', 'katri_b', 'katri_n', 'katri_w', 'mulch_t', 'qxmsq_t', 'qxmsq_f', 'r2ar8_t', 'rimmx_t', 'rimmx_f', 'rkxwp_t', 'rxmsq_t', 'skrxp_t', 'skrxp_f', 'spcop_t', 'spcop_f', 'thrsk_t', 'wkna8_t', 'wkna8_f', 'wknck_t', 'wkovl_f', 'wkpos_f']",[2.2712785967266385],"[0.0 1.0 1.0 1.0 1.0 0.5818814100457264 0.0006308205804651597 1.0
 0.31287007259651095 0.2806497494627488 1.0 0.294908420273563 0.0 1.0
 0.2504300986093577 1.0 1.0 0.4288693207459092 0.4364229538729971
 0.9807857872530744 0.22952019018320874 1.0 1.0 0.0 0.03446733382183771
 0.0 1.0 0.7590907758882602 1.0 0.7341647332413034 1.0 1.0 0.0 1.0
 0.5135893824149828 1.0 0.0 0.0 0.43815582250180024 0.0 0.0 1.0 1.0 1.0
 0.0 1.0 0.3144726989732162 0.34583836055871997 0.008663048370006806 0.0
 0.20248913990318965 0.09740463862727643 0.0 1.0 1.0 1.0 1.0
 0.39663180717339197 0.005535627582767418 1.0 0.15912205477239572 0.0 0.0
 1.0 1.0 0.9645419324233412 0.0 0.45203921788724627 1.0
 0.23104855264265942 1.0 0.0 0.16965850765024967 0.013416169706804997]"
HYB,kr-vs-kp,binary,logloss,1,120.0,17.045391408602395,3196,74,2,1598,1598,35,0.068567,0.101441,kr.csv,"LogisticRegression(C=190.79049685212738, max_iter=5000)","['bkblk_t', 'bknwy_t', 'bkon8_t', 'bkon8_f', 'bkona_t', 'bkona_f', 'bkxbq_t', 'bkxbq_f', 'bkxcr_t', 'bkxwp_f', 'blxwp_t', 'blxwp_f', 'bxqsq_t', 'bxqsq_f', 'cntxt_t', 'cntxt_f', 'dsopp_t', 'hdchk_t', 'katri_n', 'katri_w', 'mulch_t', 'qxmsq_t', 'qxmsq_f', 'r2ar8_t', 'reskd_f', 'rimmx_t', 'rimmx_f', 'rxmsq_t', 'skrxp_t', 'skrxp_f', 'spcop_f', 'wkna8_t', 'wknck_t', 'wkovl_t', 'wkpos_f']",[2.2805567389872285],"[1.0 0.19649601488658522 1.0 0.0 1.0 0.5332369594170903 0.6340923590702396
 1.0 0.14161798265701597 0.33025924046470617 0.5484352222253714 1.0 1.0
 0.0 0.34995977803002093 1.0 0.904742603827019 1.0 1.0 0.6442619477254673
 0.8749329129882867 0.7396031855040881 1.0 0.0 0.0 0.0 0.7009732315566664
 0.4591276434440899 0.03839380324455832 1.0 1.0 1.0 0.0 1.0
 0.6830046365125554 0.9969318778495945 0.4229254289332276
 0.2192894343279706 0.6913144822566655 0.22605809156799123 0.0
 0.5322671225741138 0.6885563386828789 0.10690938909669195
 0.285331849726558 0.5100588432415478 0.06565100686827763
 0.1922569396570246 0.0 0.00853464745482664 0.029850285143389117 0.0 0.0
 0.5075582065789206 1.0 0.10173167397705071 1.0 0.0 0.031690946772472 0.0
 0.4294575780026757 0.0810069787949559 0.18877756494145734 1.0
 0.47233971457031954 0.7610802168771487 0.11197305965729529 1.0
 0.2298023529659636 0.0 1.0 0.1409165187686635 0.13619161344009167
 0.24285281909961354]"
HYB,kr-vs-kp,binary,logloss,2,120.0,15.71625862121582,3196,74,2,1598,1598,34,0.069133,0.098332,kr.csv,"LogisticRegression(C=200.1559403134948, max_iter=5000)","['bkblk_t', 'bknwy_f', 'bkon8_t', 'bkon8_f', 'bkona_t', 'bkxbq_f', 'bkxcr_t', 'blxwp_f', 'bxqsq_t', 'bxqsq_f', 'cntxt_f', 'dsopp_t', 'hdchk_t', 'hdchk_f', 'katri_b', 'katri_n', 'katri_w', 'mulch_f', 'qxmsq_t', 'qxmsq_f', 'r2ar8_t', 'rimmx_t', 'rxmsq_f', 'skrxp_t', 'skrxp_f', 'spcop_t', 'stlmt_t', 'stlmt_f', 'thrsk_f', 'wkna8_t', 'wknck_t', 'wkovl_f', 'wkpos_t', 'wtoeg_f']",[2.301368483809539],"[1.0 0.20938416352902262 0.0 0.6862435469840169 0.7995132131318351 1.0 1.0
 0.0 0.34519211117535564 0.027067714525592493 0.0 1.0 1.0 0.0
 0.1492625076738851 0.0009150366873243582 0.1132600489497999
 0.7435059028251763 1.0 0.7077439643623652 0.43247226230396096
 0.9943367305574304 1.0 0.1818399039601775 0.12790845121349081 0.0
 0.6140715260948919 1.0 1.0 0.6221438691761203 0.7384450495388377
 0.19531255631666145 0.5123527569453626 0.9278669657475291
 0.9466578688464121 0.9224528516576288 0.11827029445227678
 0.3913140123210041 0.255508040967188 0.0 0.18891060873320215 1.0
 0.08811858731441664 0.0 0.0 0.05837894171556238 0.6456175775607843
 0.03278672969196918 0.18274191301470102 0.2316669711151751
 0.02460679627601013 0.44719883202111643 0.26155111328316677
 0.8824522261118317 0.71553323388984 0.5815038254852709
 0.40845376125923105 0.6827311349149912 0.7688403793190419
 0.010891032021784802 0.7385086873694173 0.3381952481571841
 0.09452203646318796 1.0 0.059293735900440916 1.0 0.0 0.0
 0.6099714128925071 1.0 0.0 0.1407975819412543 0.47863228005703395 1.0]"
HYB,kr-vs-kp,binary,logloss,3,120.0,15.889951860904693,3196,74,2,1598,1598,32,0.068384,0.098923,kr.csv,"LogisticRegression(C=153.80179514750597, max_iter=5000)","['bkblk_t', 'bknwy_f', 'bkon8_f', 'bkona_t', 'bkona_f', 'bkxbq_t', 'bkxbq_f', 'bkxcr_f', 'blxwp_t', 'bxqsq_t', 'bxqsq_f', 'cntxt_t', 'dsopp_t', 'hdchk_f', 'katri_n', 'katri_w', 'mulch_t', 'qxmsq_t', 'r2ar8_t', 'r2ar8_f', 'rimmx_t', 'rimmx_f', 'rxmsq_f', 'skrxp_f', 'spcop_t', 'stlmt_t', 'thrsk_t', 'wkna8_f', 'wknck_t', 'wkovl_t', 'wkpos_t', 'wkpos_f']",[2.186961404503814],"[0.8589665751052948 0.061644060780065 0.20845299427358724 1.0 0.0 1.0 1.0
 0.9492979498364356 0.44693739219159745 0.2644617165794255
 0.9050144976831722 1.0 0.031817696414991437 1.0 0.005880707038436409
 0.48808438498063533 0.8432641644219209 0.0 1.0 0.9039957938010332
 0.679872984999637 0.20529890235848688 1.0 0.0 0.30110764373632615 0.0
 0.07142940313958067 0.7102568141618038 0.0 1.0 0.6966044188432566
 0.7877088214208521 0.3820603009048236 1.0 0.17456339153284306
 0.5463553095322655 0.5402402554334983 0.47308262740887724
 0.18569725565065465 0.009600632385114424 0.023980644016326914 1.0
 0.5865164887052408 0.1586337876810451 0.33136371109871365
 0.44476574958990867 0.8692126781558619 0.0 0.25347555003748123 0.0
 0.40491439872766616 0.13697402556394725 0.41905785347749713
 0.16272811214920327 1.0 1.0 0.45660259676848886 0.74944759866587
 0.25485032889700926 1.0 0.005558069413915642 0.39031944999721147 0.0
 0.4084048543464446 0.8707939869581794 1.0 0.39857611786795294
 0.8467682915411376 0.12897025190579803 0.6590058229806229 1.0 0.0
 0.44937727502391633 0.2044805841661208]"
HYB,kr-vs-kp,binary,logloss,4,120.0,12.266519474983216,3196,74,2,1598,1598,31,0.068848,0.099105,kr.csv,"LogisticRegression(C=477.5802228848582, max_iter=5000)","['bkblk_f', 'bknwy_t', 'bknwy_f', 'bkon8_f', 'bkona_t', 'bkxbq_f', 'bkxcr_t', 'bkxcr_f', 'blxwp_t', 'bxqsq_t', 'bxqsq_f', 'cntxt_f', 'dsopp_t', 'hdchk_t', 'katri_b', 'katri_n', 'mulch_f', 'qxmsq_f', 'r2ar8_t', 'r2ar8_f', 'rimmx_f', 'rxmsq_t', 'skrxp_t', 'spcop_f', 'stlmt_t', 'thrsk_t', 'wkna8_t', 'wkna8_f', 'wknck_t', 'wkpos_t', 'wtoeg_f']",[2.679046333888035],"[0.0 1.0 0.8780148225433873 1.0 0.0 1.0 1.0 0.15466787506162835
 0.20903794918145693 0.150909895655211 0.049099799833701385 1.0 1.0 1.0
 0.21309155231768379 0.0 1.0 0.0 0.9709072120358826 0.5912945483863474 0.0
 0.6658680729683087 0.9999019067338275 0.028978234747258642 0.0
 0.31989068239915314 0.7466128458265452 0.32446870857556565 1.0 1.0
 0.034696921921560236 0.0 1.0 0.2329452278135462 1.0 1.0
 0.6958015218019213 0.11479626612418942 0.1687241273177813 0.0
 0.24896344625271705 0.0 1.0 0.0 0.11176591718461054 1.0 0.0
 0.4590724681488337 0.0 0.36405254654781083 0.0 0.10757665542042835
 0.012677759886192843 1.0 0.28977593626033343 0.0 1.0 1.0
 0.38000307639850006 0.7462109013592455 0.0 0.0 0.0 1.0 0.6439760850632733
 1.0 0.0 0.3173327049546588 0.1847238196803155 0.5566686016759558
 0.14351202262080429 0.4990373189365043 0.0 0.6952832169767135]"
HYB,mushroom,binary,logloss,0,120.0,4.753197153409322,8124,125,2,4062,4062,40,6.2e-05,5.7e-05,mushroom.csv,"LogisticRegression(C=986.6626427461481, max_iter=5000)","['cap-shape_b', 'cap-shape_c', 'cap-surface_s', 'cap-color_c', 'cap-color_r', 'bruises%3F_f', 'odor_a', 'odor_c', 'odor_f', 'odor_l', 'odor_p', 'gill-attachment_d', 'gill-spacing_c', 'gill-spacing_d', 'gill-size_b', 'gill-size_n', 'gill-color_b', 'gill-color_e', 'gill-color_u', 'stalk-surface-above-ring_f', 'stalk-surface-above-ring_k', 'stalk-surface-below-ring_f', 'stalk-surface-below-ring_s', 'stalk-surface-below-ring_y', 'stalk-color-above-ring_g', 'stalk-color-above-ring_p', 'stalk-color-below-ring_y', 'ring-number_n', 'ring-number_o', 'ring-number_t', 'ring-type_l', 'ring-type_s', 'spore-print-color_k', 'spore-print-color_r', 'spore-print-color_w', 'population_a', 'population_c', 'habitat_l', 'habitat_m', 'habitat_w']",[2.9941686851534244],"[1.0 0.9181836780767433 0.35440225692329674 0.32213317046398554 0.0 0.0
 0.0 0.0 1.0 0.0 0.0 0.832006824084889 0.0 0.26388608564510896
 0.3331927146825919 0.11050844096015755 0.8926689159258607 0.0
 0.0005263585729180231 0.3034237617139931 1.0 0.0 0.7036576842056608
 0.8121592770394481 0.6532367479251282 1.0 0.42853618427468254 0.0
 0.5755555114732857 0.4644657080799165 0.0 0.04047512522313046
 0.6117187896225507 0.0 0.0 1.0 1.0 0.0 0.8720894529239622
 0.7084655729376045 0.6884061479341492 0.8040049858603964
 0.13525033574464876 0.265076560678515 0.07382869452341445
 0.12119279237176264 0.0 0.0 0.0 1.0 0.0 0.09396265815395544 0.0 0.0
 0.08753063253873589 0.3433283001590407 0.43994086227273566
 0.45129539621445336 0.22741532224198263 0.0 0.5178873946660334
 0.6533563508081425 0.009668500804033302 0.48808546797344
 0.9908050291581592 0.0 0.6345051946969962 0.7239757688731491
 0.3666966242428847 0.0046006327226218394 0.011259177977957464 1.0
 0.3472164082997259 0.0 0.6652237047246785 0.0 0.35309230014210724
 0.12482628146626197 0.4102909747640823 0.33306195868575383
 0.2339387813461813 0.28114968891218584 0.482640434946304 0.0
 0.27875027786055007 1.0 0.19598936663068706 0.04997582797925659
 0.25497270760743 0.0 0.3043938843211813 0.4298735667784297
 0.7404321245775276 0.5477943260911275 0.9162640546968135
 0.11077602337350112 0.3841278222639454 0.2545405584125451
 0.5093698989666129 0.2498664490075277 0.0 1.0 0.06569487077796499 0.0
 0.08653105421306048 0.8141739294642328 0.1561058280173419
 0.045352313344031475 1.0 0.3669484846648875 1.0 0.10450557369554958
 0.589773221119928 1.0 0.0 0.0 0.0 0.3348259825462639 0.1647496413033051
 0.0037463094350098673 1.0 1.0 0.0 0.16056780323170558 1.0]"
HYB,mushroom,binary,logloss,1,120.0,3.606365636984507,8124,125,2,4062,4062,78,5.1e-05,4.6e-05,mushroom.csv,"LogisticRegression(C=1000.0, max_iter=5000)","['cap-shape_b', 'cap-shape_k', 'cap-shape_s', 'cap-surface_s', 'cap-surface_y', 'cap-color_c', 'cap-color_g', 'cap-color_y', 'bruises%3F_f', 'bruises%3F_t', 'odor_a', 'odor_c', 'odor_f', 'odor_l', 'odor_n', 'odor_p', 'odor_s', 'gill-attachment_f', 'gill-attachment_n', 'gill-size_n', 'gill-color_b', 'gill-color_e', 'gill-color_g', 'gill-color_h', 'gill-color_k', 'gill-color_o', 'gill-color_p', 'gill-color_r', 'gill-color_u', 'gill-color_w', 'gill-color_y', 'stalk-shape_e', 'stalk-shape_t', 'stalk-root_c', 'stalk-root_e', 'stalk-root_r', 'stalk-root_u', 'stalk-surface-above-ring_f', 'stalk-surface-above-ring_k', 'stalk-surface-above-ring_s', 'stalk-surface-above-ring_y', 'stalk-surface-below-ring_y', 'stalk-color-above-ring_b', 'stalk-color-above-ring_c', 'stalk-color-above-ring_e', 'stalk-color-above-ring_o', 'stalk-color-above-ring_p', 'stalk-color-above-ring_y', 'stalk-color-below-ring_b', 'stalk-color-below-ring_n', 'stalk-color-below-ring_w', 'stalk-color-below-ring_y', 'veil-type_p', 'veil-type_u', 'veil-color_n', 'veil-color_y', 'ring-number_n', 'ring-number_o', 'ring-number_t', 'ring-type_l', 'ring-type_n', 'ring-type_p', 'ring-type_s', 'ring-type_z', 'spore-print-color_k', 'spore-print-color_o', 'spore-print-color_r', 'spore-print-color_u', 'spore-print-color_w', 'spore-print-color_y', 'population_a', 'population_c', 'population_n', 'habitat_d', 'habitat_l', 'habitat_p', 'habitat_u', 'habitat_w']",[3.0],"[0.6028445843089828 0.4518712059986232 0.4449701169203507 1.0
 0.9956051963680949 0.05768796630382503 0.1920509807086614
 0.28585491230408233 0.8569481071865489 0.7731099898664664
 0.2972806884745146 0.5197869149003245 0.3670064718201775
 0.6920899678448985 0.24377977541750576 0.24922746467792906
 0.11068740960206691 0.0 0.2737880078061263 0.7019758065728048
 0.8248856589084141 0.5195120136966402 0.7055128744063128 1.0
 0.8286542791090504 0.9142418375234163 0.32993984256240755
 0.6092134208015271 0.8123621266403498 0.6899677699023347
 0.42532735787462933 0.0 0.32798437293690164 0.838412068905227
 0.7811594878132757 0.20515583420504763 0.02010655553209489
 0.33935500924977235 0.26270543382609196 0.6505923026647696
 0.8632169502041347 0.8666892136204432 0.6232750790327471
 0.5401565026694642 0.6475428424514198 0.1251801880242282
 0.5053662657353237 0.597457260548337 0.743355642617283 0.7613259219937939
 0.708928147796807 0.7955888667133014 1.0 0.5860307135882155 0.0
 0.9910930415956907 0.5969327821203787 0.644836453431438
 0.7529018188483558 0.49543117234051526 0.6680802878109664
 0.9425807540442326 0.589088832443897 0.6233214884437684
 0.26315796139552955 0.3612980578038399 0.2841282630544416 1.0
 0.8514111886287226 0.7277743830770451 0.5631489083112987
 0.4882077929311732 0.16826808849727987 0.8734062316841474
 0.96089369767812 0.0745399342947185 0.5535334572360856 0.5321652668722388
 0.49267056730363074 0.0 0.49525724232779184 0.6180572966099209
 0.38398940201461146 0.46109669832421907 1.0 0.9055600948129778 1.0
 0.5812849759508965 0.9090604071613784 0.3844407405604109
 0.19543421694096394 0.6491917329387944 0.9174522074141068
 0.987529920891676 0.7799254797102243 0.0 0.35287628117474995
 0.40602275766990165 0.6477810776602511 0.7237900269846724
 0.9175586672645658 0.8023540504015059 0.583475008230192 0.288299251971989
 0.36932223340703246 0.5901549565177925 0.3639935843215585
 0.568495236338724 0.6811657603234426 0.5084498364534091
 0.9118432521718618 0.9511017034610644 0.926315319574399
 0.6803410709758458 0.905369609593955 0.4253758479139626
 0.052627772548645535 0.30849195042267386 0.9107820900400714
 0.04767341068680519 0.8166589942751803 0.0 0.7524541010948976
 0.9442273313592819 0.5179060855363605]"
HYB,mushroom,binary,logloss,2,120.0,4.365847114721934,8124,125,2,4062,4062,48,6.7e-05,5.9e-05,mushroom.csv,"LogisticRegression(C=975.0005438480562, max_iter=5000)","['cap-shape_b', 'cap-shape_f', 'cap-surface_y', 'cap-color_b', 'cap-color_n', 'bruises%3F_f', 'bruises%3F_t', 'odor_a', 'odor_c', 'odor_f', 'odor_l', 'odor_n', 'gill-attachment_n', 'gill-size_b', 'gill-color_b', 'gill-color_h', 'gill-color_n', 'gill-color_u', 'gill-color_y', 'stalk-shape_t', 'stalk-root_b', 'stalk-root_c', 'stalk-root_r', 'stalk-surface-above-ring_s', 'stalk-surface-below-ring_k', 'stalk-surface-below-ring_y', 'stalk-color-above-ring_e', 'stalk-color-above-ring_n', 'stalk-color-above-ring_y', 'stalk-color-below-ring_b', 'stalk-color-below-ring_g', 'veil-type_u', 'veil-color_n', 'ring-number_n', 'ring-number_t', 'ring-type_f', 'ring-type_l', 'ring-type_n', 'ring-type_p', 'spore-print-color_b', 'spore-print-color_k', 'spore-print-color_r', 'spore-print-color_u', 'spore-print-color_y', 'population_c', 'habitat_d', 'habitat_g', 'habitat_u']",[2.9890048579448383],"[1.0 0.13175263857980538 0.6140558123387587 0.0 0.22795752857618437
 0.44400030461670814 0.3324003456307616 0.0012710784436060774
 0.46816531060824923 0.8594038113677236 0.5166573995269981 0.0
 0.3466436176911986 0.2976483154861048 1.0 0.0 0.19776693161502007
 0.3690651005031106 0.0 0.0 0.8881055706026256 0.9716426159573002 1.0 1.0
 0.6400208017566492 0.8961419286362551 0.071329474921078
 0.7224951732981297 0.0 0.0 0.0 0.0 0.08472031010149803 0.0
 0.5621875098250755 0.035891916686693844 0.1321696814321747 0.0 1.0 0.0
 1.0 0.02090382463474466 0.0 0.7460268365887499 0.403828512477304
 0.54684093263434 0.0 0.11476211902130826 0.4610567572258028 1.0
 0.2097021699114514 0.5771543587821165 0.4082306752030036 1.0 1.0
 0.8141435199008582 0.36648891930028143 1.0 0.18265531509988653
 0.052129914487369505 0.2771063133295368 0.26014812651268965 1.0
 0.14678862773221724 0.10065614151149532 0.7788616960831312
 0.07383771519462123 0.7674467667921588 0.34531060861128265
 0.45172713124917363 1.0 0.4057884068422687 0.6022848965370635
 0.06068956771253675 0.0 0.3474412092317099 0.9044462572889023
 0.7043620809710598 0.15542100411195856 0.0 1.0 0.24019865925415154
 0.12320905577349171 0.0 0.2992464712325689 0.011474446078649003
 0.2587518722167248 0.9042704631765989 0.8051725243160797
 0.06240623149418595 0.012927050934562201 0.11656699833963763
 0.8737765408989788 0.3605823196882456 1.0 0.33646103500985575
 0.12975119890887943 1.0 0.5041303382943942 1.0 0.5910322456939545
 0.36996511896414747 0.13996375272676775 0.9287307393337507 0.0
 0.671395584910381 0.2971530331748066 0.45613333603786904 1.0
 0.5124573802466504 0.0 0.5794539059936976 0.14547673852223045 1.0
 0.02975212682322629 0.037298306462453405 0.30433264275382566 0.0
 0.8054362066047813 0.5501359668506309 0.0 0.27337303317990785
 0.10292110818610012 0.6047755397756678 0.0]"
HYB,mushroom,binary,logloss,3,120.0,3.793876612186432,8124,125,2,4062,4062,74,4.9e-05,5.5e-05,mushroom.csv,"LogisticRegression(C=1000.0, max_iter=5000)","['cap-shape_b', 'cap-shape_c', 'cap-shape_f', 'cap-shape_k', 'cap-shape_s', 'cap-surface_f', 'cap-color_c', 'cap-color_e', 'cap-color_p', 'bruises%3F_t', 'odor_a', 'odor_c', 'odor_f', 'odor_l', 'odor_n', 'odor_s', 'odor_y', 'gill-attachment_a', 'gill-attachment_d', 'gill-attachment_n', 'gill-spacing_d', 'gill-spacing_w', 'gill-size_n', 'gill-color_b', 'gill-color_e', 'gill-color_g', 'gill-color_k', 'gill-color_n', 'gill-color_o', 'gill-color_p', 'gill-color_r', 'gill-color_u', 'gill-color_w', 'gill-color_y', 'stalk-root_b', 'stalk-root_e', 'stalk-root_r', 'stalk-root_u', 'stalk-surface-above-ring_f', 'stalk-surface-above-ring_k', 'stalk-surface-above-ring_y', 'stalk-surface-below-ring_k', 'stalk-surface-below-ring_s', 'stalk-surface-below-ring_y', 'stalk-color-above-ring_c', 'stalk-color-above-ring_g', 'stalk-color-above-ring_n', 'stalk-color-above-ring_o', 'stalk-color-above-ring_p', 'stalk-color-above-ring_w', 'stalk-color-above-ring_y', 'stalk-color-below-ring_e', 'stalk-color-below-ring_n', 'stalk-color-below-ring_p', 'stalk-color-below-ring_w', 'stalk-color-below-ring_y', 'veil-type_u', 'veil-color_w', 'spore-print-color_b', 'spore-print-color_h', 'spore-print-color_k', 'spore-print-color_n', 'spore-print-color_o', 'spore-print-color_r', 'spore-print-color_u', 'spore-print-color_y', 'population_c', 'population_s', 'population_v', 'population_y', 'habitat_d', 'habitat_l', 'habitat_p', 'habitat_w']",[3.0],"[1.0 1.0 0.5704810588415189 0.8945343368214705 0.9147900786883006 0.0
 0.5734976113493673 0.23287292101824203 0.20271883073164615
 0.1437841156419919 0.4069020651503084 0.9485401437551793
 0.6532314753470699 0.17215977633966678 0.1965279948493081 1.0
 0.4217963220500881 0.08793198766796381 0.0730350328367112
 0.3996233937685525 0.2984425645636217 0.9489875940482652
 0.7397790936026392 0.9805457980435026 0.7115325648351718 1.0
 0.41887108140648155 0.6949556760484725 0.297828584079118 1.0 1.0
 0.7648916744488898 0.7434277912886557 0.042326754220267715
 0.77198134303472 0.44143996828815374 0.9429314252854469 1.0
 0.21672863437595064 0.7772546650419511 0.5108475905834312 1.0
 0.7148498926305857 0.13381252886442585 0.959906891542393
 0.6272811909170029 1.0 0.6262485423921155 0.7235606104856644 1.0 1.0 1.0
 0.12285663200841784 0.0 0.5698053634060238 0.20764174052500795 1.0 1.0
 0.7476277725932555 0.2960697599634108 0.9260526640792174 1.0
 0.19376694933072847 0.8571408625725928 0.2786196777834037 1.0
 0.5617916546046884 0.5892114016323515 0.15959891797812242
 0.591997574114782 0.45331907841323676 0.5299409011308721 1.0
 0.7668397777906778 0.7759709201775495 0.8311856989426986
 0.5282327277462053 0.0 0.2616995193777156 0.8303663813979337
 0.3551597116775793 0.6408304806409313 0.021951940701727887 1.0
 0.8202957193086121 1.0 0.19336775631659614 0.8616405891696595
 0.19500546691860832 0.4431682752442703 0.8018263902440366
 0.3630511251854266 0.1939090926993594 0.3265940362508228
 0.38470124114889537 0.46258700185950086 0.28042705068914187
 0.23345683922400323 0.0 0.3853309178256603 0.1822136875601954
 0.4791302034391494 0.37561134777156513 0.8274048312570239
 0.943690101201251 1.0 0.6476235265348356 1.0 0.7662847558072562 1.0
 0.15164657161263248 1.0 0.0 0.5218638425078422 0.4792685176478479
 0.9621695453137316 0.9722941347843239 0.6505481389428034
 0.6576192060189753 0.4426252669200498 0.9457026328054248
 0.23954567942096475 0.7549235093712447 0.4210312108766296 1.0]"
HYB,mushroom,binary,logloss,4,120.0,3.445835777123769,8124,125,2,4062,4062,57,5e-05,4.7e-05,mushroom.csv,"LogisticRegression(C=1000.0, max_iter=5000)","['cap-shape_c', 'cap-shape_s', 'cap-shape_x', 'cap-surface_y', 'cap-color_c', 'cap-color_g', 'bruises%3F_t', 'odor_a', 'odor_c', 'odor_f', 'odor_l', 'odor_n', 'odor_s', 'odor_y', 'gill-attachment_f', 'gill-spacing_c', 'gill-size_n', 'gill-color_e', 'gill-color_k', 'gill-color_o', 'gill-color_w', 'stalk-root_b', 'stalk-root_r', 'stalk-root_u', 'stalk-surface-above-ring_k', 'stalk-surface-below-ring_k', 'stalk-surface-below-ring_y', 'stalk-color-above-ring_g', 'stalk-color-above-ring_n', 'stalk-color-above-ring_o', 'stalk-color-above-ring_w', 'stalk-color-above-ring_y', 'stalk-color-below-ring_b', 'stalk-color-below-ring_c', 'stalk-color-below-ring_g', 'stalk-color-below-ring_n', 'stalk-color-below-ring_o', 'stalk-color-below-ring_w', 'veil-type_p', 'veil-type_u', 'veil-color_n', 'ring-type_e', 'ring-type_l', 'ring-type_n', 'ring-type_p', 'spore-print-color_b', 'spore-print-color_h', 'spore-print-color_r', 'spore-print-color_u', 'spore-print-color_w', 'population_c', 'population_s', 'habitat_d', 'habitat_g', 'habitat_l', 'habitat_m', 'habitat_w']",[3.0],"[0.0 0.6603308774626905 0.0 0.0 1.0 1.0 0.4969356503910176 0.0
 0.30641316043126793 0.6973284183027416 0.0 0.7145804408998175
 0.28108904067174345 1.0 0.0 0.0 0.0 0.19834057098727093
 0.4500315642005888 0.0 0.02876581382209581 0.7545396972046716
 0.6498159153617387 0.7768848151064427 0.8814098700267895 1.0
 0.29214575986051083 1.0 0.013578748048931418 1.0 1.0 0.27083522666936066
 0.3717050080671419 0.7380831077593717 0.0 1.0 0.4257699556602645
 0.1627640905807724 0.07017565511054433 1.0 0.1557548971709676
 0.5609850193457844 0.0 0.13303767741444605 1.0 0.0 0.6878714357130258 0.0
 0.35502342495976297 0.08114669442191308 1.0 0.36511635047754926 0.0
 0.11221849132307632 1.0 0.29721081841703884 0.0 0.5761508153236056 1.0
 0.052714525420953395 0.10823767717785028 0.5411980967000252 0.0 0.0
 0.20130347234815787 1.0 0.4170509326164054 1.0 0.4291427509897857
 0.1034034277447809 0.0 0.5660326989239204 1.0 0.5749750954499069 0.0 1.0
 1.0 0.6590451202428799 0.9614118166253324 0.48271852417836403
 0.9783692004063103 1.0 1.0 0.44168094169303873 1.0 0.0 0.9290302545331254
 0.7145703608163221 1.0 0.4847973214754574 0.19778717238701252 0.0
 0.14318975641198223 0.2589035381627178 0.0 0.0 0.5346723671779607 0.0 1.0
 0.664617058777988 0.7384178423615041 0.25382920835066863 0.0 1.0 1.0 0.0
 0.0 0.0 1.0 0.8677303928285107 1.0 0.0 0.12644934323460752
 0.8896213122368404 0.0 0.7686815852007503 0.4892713536214776
 0.29440973424369266 1.0 0.5307331281498113 0.7131371803025921 1.0 0.0
 0.38019170877185204 0.6063160621667438]"
