name_file,bo_elapsed_time,bo_num_rows,bo_num_cols,bo_num_classes,bo_train_val_size,bo_test_size,bo_NFS,bo_FINAL_SCORE_VAL,bo_FINAL_SCORE_TST,hyb_elapsed_time,hyb_num_rows,hyb_num_cols,hyb_num_classes,hyb_train_val_size,hyb_test_size,hyb_NFS,hyb_FINAL_SCORE_VAL,hyb_FINAL_SCORE_TST,ga_elapsed_time,ga_num_rows,ga_num_cols,ga_num_classes,ga_train_val_size,ga_test_size,ga_NFS,ga_FINAL_SCORE_VAL,ga_FINAL_SCORE_TST,name_db,type_prob,score_type,num_rows,num_cols,num_classes,train_val_size,test_size
JapaneseVowels.csv,10.329677973588307,9961.0,14.0,9.0,4980.0,4981.0,14.0,0.9358006932061109,0.9356284,23.186747769514717,9961.0,14.0,9.0,4980.0,4981.0,14.0,0.9356159999999999,0.935952,60.232425345579784,9961.0,14.0,9.0,4980.0,4981.0,14.0,0.9357952277329306,0.9356232,JapaneseVowels,multiclass,f1_macro,9961,14,9,4980,4981
Job.csv,35.14236048380534,14480.0,32.0,7275.0,7240.0,7240.0,32.0,1.3951503217439307,0.7481876,121.59086748997372,14480.0,32.0,7275.0,7240.0,7240.0,16.8,0.9345086,0.7888454,363.3000252397855,14480.0,32.0,7275.0,7240.0,7240.0,21.8,1.38520731094716,0.75283,Job_Profitability,regression,MSE/RMSE,14480,32,7275,7240,7240
Kaggle.csv,19.572478868961333,10886.0,47.0,822.0,5443.0,5443.0,47.0,0.15848219602008767,0.3874616,109.82289873043696,10886.0,47.0,822.0,5443.0,5443.0,39.8,0.1635978,0.3958408,204.5030778114001,10886.0,47.0,822.0,5443.0,5443.0,37.4,0.16566490675880718,0.3989068,Kaggle_bike_sharing_demand_challange,regression,MSE/RMSE,10886,47,822,5443,5443
Long.csv,1.5907160170873005,4477.0,19.0,2.0,2238.0,2239.0,19.0,0.01066664814821954,0.008032,0.5151779492696127,4477.0,19.0,2.0,2238.0,2239.0,4.2,0.0066392,0.0077264,16.07835325161616,4477.0,19.0,2.0,2238.0,2239.0,5.2,0.0068106690112067795,0.007496600000000001,Long,binary,logloss,4477,19,2,2238,2239
MagicTelescope.csv,1.2707860612869262,19020.0,10.0,2.0,9510.0,9510.0,10.0,0.45656903496427415,0.4598282,0.5964416972796123,19020.0,10.0,2.0,9510.0,9510.0,6.0,0.456049,0.4599724,13.221299081643423,19020.0,10.0,2.0,9510.0,9510.0,6.4,0.45630279981491506,0.4599844,MagicTelescope,binary,logloss,19020,10,2,9510,9510
MiamiHousing2016.csv,32.778373622894286,13932.0,16.0,2111.0,6966.0,6966.0,16.0,0.08759423076867327,0.30976919999999997,116.61512749354044,13932.0,16.0,2111.0,6966.0,6966.0,13.4,0.0822984,0.2966384,318.9944224707286,13932.0,16.0,2111.0,6966.0,6966.0,13.8,0.08157356934795194,0.295551,MiamiHousing2016,regression,MSE/RMSE,13932,16,2111,6966,6966
PhishingWebsites.csv,2.143188567956289,11055.0,68.0,2.0,5527.0,5528.0,68.0,0.1525048272298333,0.1430896,7.601967496871948,11055.0,68.0,2.0,5527.0,5528.0,30.2,0.14961200000000002,0.14251819999999998,32.748515570163725,11055.0,68.0,2.0,5527.0,5528.0,40.4,0.15092061874789062,0.14327099999999998,PhishingWebsites,binary,logloss,11055,68,2,5527,5528
SAT11.csv,3.7036407192548118,4440.0,130.0,1945.0,2220.0,2220.0,130.0,0.3336926056808583,0.5177296,52.771550537745156,4440.0,130.0,1945.0,2220.0,2220.0,48.4,0.2962874,0.5143487999999999,59.88314504384995,4440.0,130.0,1945.0,2220.0,2220.0,77.0,0.3195532743631002,0.5107307999999999,SAT11-HAND-runtime-regression,regression,MSE/RMSE,4440,130,1945,2220,2220
Satellite.csv,1.6237814760208131,5100.0,36.0,2.0,2550.0,2550.0,36.0,0.02086668643540612,0.0203264,2.1436677773793535,5100.0,36.0,2.0,2550.0,2550.0,11.0,0.0138706,0.0236728,16.37086845556895,5100.0,36.0,2.0,2550.0,2550.0,17.8,0.01673127983271512,0.022820200000000002,Satellite,binary,logloss,5100,36,2,2550,2550
Titanic.csv,1.3925427714983623,2201.0,3.0,2.0,1100.0,1101.0,3.0,0.5340744839013271,0.5159976000000001,0.12260055780410764,2201.0,3.0,2.0,1100.0,1101.0,2.0,0.531674,0.5173668,12.314748394489289,2201.0,3.0,2.0,1100.0,1101.0,2.0,0.5328536935970429,0.5173464,Titanic,binary,logloss,2201,3,2,1100,1101
